OTU	A01	A02	B01	B02	C01	C02	D01	D02	E01	E02	F01	F02	G01	H01	H25361	H25362	H25363	H25364	H25365
Zotu1	139640	91521	32133	26008	2038	71955	151601	167568	74389	36202	82802	97198	63320	36787	762004	719752	863466	760829	628143
Zotu10	93	2	1564	1	11	5568	19	17358	1352	10276	9757	1	29	255	71819	22502	73	24110	11446
Zotu100	2863	52	111	292	16	28	3205	225	54	2	8	38	655	354	168	10221	33336	10149	9472
Zotu101	284	7156	1	2	0	1	0	1	2	1	1	2	0	0	1	0	0	3	1
Zotu102	5	117	56	0	3	75	0	151	108	60	143	138	3	17	10334	4317	71	2652	6525
Zotu103	26	8	485	0	5	1225	9	292	1327	1317	212	6	1	240	14902	1028	47	3508	3683
Zotu107	5707	120	52	2052	33	180	6135	614	175	4	45	104	1716	1673	87	4533	13944	3131	2948
Zotu108	3968	30	79	295	17	30	3381	186	56	2	4	34	487	409	259	7420	26432	4095	3984
Zotu11	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu110	66	1859	688	2	20	1280	29	3375	1313	894	1661	2886	15	405	23442	6077	160	3170	8576
Zotu111	18	535	190	0	4	211	5	1325	155	254	448	464	0	38	6790	1895	10	2180	1421
Zotu113	5885	123	297	503	89	44	2997	358	154	5	37	58	2466	637	68	3236	18612	2081	5266
Zotu117	8	141	97	0	5	453	2	247	264	61	245	329	5	13	3164	14881	68	5505	2524
Zotu119	104	1094	1217	1	17	2049	6	768	1520	766	883	2617	19	573	6255	5758	94	1833	32462
Zotu122	5	201	94	0	3	72	9	177	258	166	423	264	2	22	4015	3031	21	2175	2556
Zotu123	553	20	30	155	5	14	448	95	14	0	4	11	241	160	60	6124	10896	10554	3025
Zotu125	4965	45	158	244	46	43	3948	338	56	2	27	35	1124	397	123	5982	17944	4840	6162
Zotu127	4325	135	456	1415	70	98	4583	396	158	4	50	104	1487	1020	116	3971	22943	9760	8192
Zotu128	8148	215	1054	1146	69	145	10134	684	246	11	59	155	2833	1635	422	10723	19734	14855	17162
Zotu13	185	7412	6679	2	30	7494	144	17352	6962	2576	22757	14697	138	1612	61600	108806	376	76128	33384
Zotu133	133	1657	1458	1	21	7764	20	2108	1924	1086	3775	4093	30	892	12696	5803	79	1545	2902
Zotu134	6635	45	399	247	75	37	5081	146	89	6	29	78	783	723	178	863	4907	959	1925
Zotu135	1744	228	187	150	31	14	575	159	389	2	100	156	1961	1147	27	571	174	1282	145
Zotu136	0	0	655	0	14	0	1	85	0	0	3392	0	0	0	35503	236	11	1840	0
Zotu137	2397	52	276	814	43	54	1915	85	183	3	20	23	924	1986	27	1322	4208	1550	1446
Zotu14	53	4473	31860	0	146	1418	103	2840	11509	2560	13449	8779	52	2194	45938	8235	42	12215	24248
Zotu143	1925	38	287	290	22	30	2202	66	55	0	13	37	527	382	47	924	7584	963	1320
Zotu144	2	543	0	0	0	117	2	0	150	0	0	399	2	0	8	6124	51	2199	1697
Zotu145	252	8307	3868	7	33	18892	85	16204	8422	4468	10925	12996	72	3518	105707	79210	568	40917	33022
Zotu147	34	0	698	0	7	162	1	0	64	0	0	1	0	0	4837	2000	15	8223	3590
Zotu152	255	67	3338	1	45	665	15	65	654	35	92	427	0	19	4363	2646	9	19197	2045
Zotu153	1905	43	73	369	8	53	3037	115	76	1	11	32	451	469	157	1847	3653	1646	6438
Zotu156	0	0	513	2	8	0	0	2204	0	0	830	0	0	0	29387	314	6	2473	0
Zotu158	38	46	68	0	1	47	0	367	168	30	217	75	0	75	17259	297	6	1568	1106
Zotu16	92	11818	640	0	4	3071	76	1590	3932	947	1966	5705	58	277	4325	22971	1698	8100	62513
Zotu161	2916	27	174	496	21	23	2252	268	58	3	5	26	1402	431	34	2295	9882	3320	4283
Zotu162	0	0	6	28	2	0	0	65	0	14	0	0	5457	0	0	0	0	0	0
Zotu165	2447	32	172	194	22	18	1556	65	51	3	25	17	453	339	111	3448	13666	5211	5248
Zotu166	16648	245	873	1214	220	220	9292	816	218	16	110	188	3195	1193	457	26217	115031	41059	25505
