OTU	A01	A02	B01	B02	C01	C02	D01	D02	E01	E02	F01	F02	G01	H01	H25361	H25362	H25363	H25364	H25365
Zotu10	93	2	1564	1	11	5568	19	17358	1352	10276	9757	1	29	255	71819	22502	73	24110	11446
Zotu108	3968	30	79	295	17	30	3381	186	56	2	4	34	487	409	259	7420	26432	4095	3984
Zotu122	5	201	94	0	3	72	9	177	258	166	423	264	2	22	4015	3031	21	2175	2556
Zotu153	1905	43	73	369	8	53	3037	115	76	1	11	32	451	469	157	1847	3653	1646	6438
Zotu175	1100	18	147	179	69	12	1289	97	32	2	12	17	592	151	25	1663	9182	383	2707
Zotu177	1110	3	16	32	5	10	809	41	6	0	1	7	122	75	60	1049	687	5528	597
Zotu224	0	0	0	0	0	0	0	0	0	1	0	0	1843	0	0	0	0	0	0
Zotu252	0	2	5	0	3	0	0	139	0	8	0	0	4947	0	0	0	0	0	0
Zotu234	0	0	0	0	0	0	0	1	0	0	0	0	2187	0	0	0	0	0	0
Zotu353	53	0	0	39	1	0	2	18	0	2	0	0	497	0	0	0	0	0	0
Zotu357	38	0	3	28	3	0	2	12	0	1	0	0	1003	0	4	0	0	0	0
Zotu375	0	1	1	0	0	0	0	7	0	2	0	0	1168	0	0	0	0	0	0
Zotu409	2	3	6	0	0	17	1	20	43	4	12	11	0	1	4237	3650	264	1631	1041
Zotu427	139	1	1	33	1	0	7	26	0	0	0	0	578	0	1	0	0	0	0
Zotu431	954	0	0	20	0	0	65	2	0	0	0	0	0	0	0	0	0	0	0
Zotu506	0	0	1	0	0	0	0	1	0	1	0	0	735	0	0	0	0	0	0
Zotu515	286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu54	511	185	1056	2	78	162	4	8339	197	136	9158	186	1	1867	69662	1142	28	5231	176
Zotu57	614	21998	10531	4	102	22962	271	38681	21590	5834	38029	28336	221	3286	280622	251591	1256	195102	133415
Zotu603	269	0	0	20	0	0	36	1	0	0	0	0	135	0	0	0	0	0	0
Zotu670	77	0	0	2	0	0	9	1	0	0	0	0	0	0	0	0	0	0	0
Zotu80	147	3668	402	1	6	3148	56	3977	4971	2323	1167	4377	38	865	1370	31897	254	13702	48950
Zotu90	60	2376	1442	0	4	1085	25	3473	1753	777	3741	3535	53	772	5116	2816	13	2815	1951
