Sample,Gene Name,FPKM,vf_category
C02,aslA,21.439741,Invasion
C02,chuA,16.874689,Nutritional/Metabolic factor
C02,chuS,17.687586,Nutritional/Metabolic factor
C02,chuT,14.089689,Nutritional/Metabolic factor
C02,chuY,0.0,Nutritional/Metabolic factor
C02,cnf1,0.0,Exotoxin
C02,csgA,13.997423,Adherence
C02,csgB,0.0,Adherence
C02,csgC,0.0,Adherence
C02,entA,42.596172,Nutritional/Metabolic factor
C02,entB,22.538536,Nutritional/Metabolic factor
C02,entC,46.591194,Nutritional/Metabolic factor
C02,entD,1688.921997,Nutritional/Metabolic factor
C02,entE,43.54311,Nutritional/Metabolic factor
C02,entF,21.993404,Nutritional/Metabolic factor
C02,entS,17.099922,Nutritional/Metabolic factor
C02,fdeC,5.299836,Adherence
C02,fepA,4813.091309,Nutritional/Metabolic factor
C02,fepB,19.876835,Nutritional/Metabolic factor
C02,fepC,292.979309,Nutritional/Metabolic factor
C02,fepD,42.759727,Nutritional/Metabolic factor
C02,fepG,54.604683,Nutritional/Metabolic factor
C02,fes,0.0,Nutritional/Metabolic factor
C02,fimA,22.298012,Adherence
C02,fimA,3.871472,Adherence
C02,fimB,1.46723,Adherence
C02,fimC,0.0,Adherence
C02,fimD,3.049603,Adherence
C02,fimE,17.042917,Adherence
C02,fimF,0.0,Adherence
C02,fimG,0.0,Adherence
C02,fimH,6.99849,Adherence
C02,fimI,35.811287,Adherence
C02,focA,131.548569,Adherence
C02,glrR,20.233955,Effector delivery system
C02,hlyA,0.0,Exotoxin
C02,hlyC,0.0,Exotoxin
C02,hlyD,105.517555,Exotoxin
C02,hlyD,0.0,Exotoxin
C02,iroB,0.0,Nutritional/Metabolic factor
C02,iroC,0.0,Nutritional/Metabolic factor
C02,iroD,0.0,Nutritional/Metabolic factor
C02,iroE,0.0,Nutritional/Metabolic factor
C02,iroN,0.0,Nutritional/Metabolic factor
C02,map,131.480209,Effector delivery system
C02,neuB,0.0,Invasion
C02,neuC,0.0,Invasion
C02,ompA,894.216858,Invasion
C02,papA,0.0,Adherence
C02,papC,11.514249,Adherence
C02,papF,0.0,Adherence
C02,papH,11.490234,Adherence
C02,papI,0.0,Adherence
C02,papX,0.0,Adherence
C02,sfaA,0.0,Adherence
C02,sfaC,0.0,Adherence
C02,sfaD,0.0,Adherence
C02,sfaF,0.0,Adherence
C02,sfaG,0.0,Adherence
C02,sfaH,0.0,Adherence
C02,sfaS,0.0,Adherence
C02,sfaX,0.0,Adherence
C02,sfaY,0.0,Adherence
H25363,entA,0.0,Nutritional/Metabolic factor
H25363,entB,722.53363,Nutritional/Metabolic factor
H25363,entF,534.972473,Nutritional/Metabolic factor
H25363,fepA,417.257233,Nutritional/Metabolic factor
H25363,ompA,3334.90625,Invasion
H25363,papA,2711.293701,Adherence
D02,aslA,4.097466,Invasion
D02,chuA,0.0,Nutritional/Metabolic factor
D02,chuS,0.0,Nutritional/Metabolic factor
D02,chuT,0.0,Nutritional/Metabolic factor
D02,chuY,0.0,Nutritional/Metabolic factor
D02,cnf1,0.0,Exotoxin
D02,csgA,0.0,Adherence
D02,csgB,3.719321,Adherence
D02,csgC,0.0,Adherence
D02,entA,96.824165,Nutritional/Metabolic factor
D02,entB,153.827026,Nutritional/Metabolic factor
D02,entC,134.547562,Nutritional/Metabolic factor
D02,entD,78.362907,Nutritional/Metabolic factor
D02,entE,56.970539,Nutritional/Metabolic factor
D02,entF,146.602402,Nutritional/Metabolic factor
D02,entS,97.824883,Nutritional/Metabolic factor
D02,fdeC,1.376829,Adherence
D02,fepA,360.515625,Nutritional/Metabolic factor
D02,fepB,134.277832,Nutritional/Metabolic factor
D02,fepC,148.011566,Nutritional/Metabolic factor
D02,fepD,66.899361,Nutritional/Metabolic factor
D02,fepG,54.586979,Nutritional/Metabolic factor
D02,fes,119.689468,Nutritional/Metabolic factor
D02,fimA,0.0,Adherence
D02,fimA,0.0,Adherence
D02,fimB,2.81262,Adherence
D02,fimC,3.435455,Adherence
D02,fimD,1.929463,Adherence
D02,fimE,9.915252,Adherence
D02,fimF,0.0,Adherence
D02,fimG,0.0,Adherence
D02,fimH,5.579348,Adherence
D02,fimI,0.0,Adherence
D02,focA,565.717651,Adherence
D02,glrR,31.895868,Effector delivery system
D02,hlyA,0.0,Exotoxin
D02,hlyC,0.0,Exotoxin
D02,hlyD,49.45977,Exotoxin
D02,hlyD,0.0,Exotoxin
D02,iroB,0.0,Nutritional/Metabolic factor
D02,iroC,0.0,Nutritional/Metabolic factor
D02,iroD,0.0,Nutritional/Metabolic factor
D02,iroE,0.0,Nutritional/Metabolic factor
D02,iroN,0.0,Nutritional/Metabolic factor
D02,map,378.556061,Effector delivery system
D02,neuB,0.0,Invasion
D02,neuC,0.0,Invasion
D02,ompA,4132.194336,Invasion
D02,papA,6.014225,Adherence
D02,papC,0.0,Adherence
D02,papF,0.0,Adherence
D02,papH,0.0,Adherence
D02,papI,0.0,Adherence
D02,papX,1.536254,Adherence
D02,sfaA,0.0,Adherence
D02,sfaC,0.0,Adherence
D02,sfaD,0.0,Adherence
D02,sfaF,0.0,Adherence
D02,sfaG,0.0,Adherence
D02,sfaH,0.0,Adherence
D02,sfaS,0.0,Adherence
D02,sfaX,0.0,Adherence
D02,sfaY,0.0,Adherence
D01,aslA,0.0,Invasion
D01,chuA,0.0,Nutritional/Metabolic factor
D01,chuS,169.240356,Nutritional/Metabolic factor
D01,chuT,0.0,Nutritional/Metabolic factor
D01,chuY,0.0,Nutritional/Metabolic factor
D01,cnf1,0.0,Exotoxin
D01,csgA,0.0,Adherence
D01,csgB,0.0,Adherence
D01,csgC,0.0,Adherence
D01,entA,0.0,Nutritional/Metabolic factor
