Metabolites,A1_Control,A1_Context,A2_Control,A2_Context,B1_Control,B1_Context,B2_Control,B2_Context,C1_Control,C1_Context,C2_Control,C2_Context,D1_Control,D1_Context,D2_Control,D2_Context,E1_Control,E1_Context,E2_Control,E2_Context,F1_Control,F1_Context,F2_Control,F2_Context,G1_Control,G1_Context,H1_Control,H1_Context,H25361_Control,H25361_Context,H25362_Control,H25362_Context,H25363_Control,H25363_Context,H25364_Control,H25364_Context,H25365_Control,H25365_Context
H20,187108.367,187117.2363,203502.3079,6252.958793,108443.0391,66436.02278,315273.0438,216454.6108,113003.419,138392.5808,265920.0716,38128.81776,210252.3123,210187.9436,219334.3542,180062.3236,268306.4914,26161.48442,258410.5696,187108.367,55222.88368,48077.8337,262020.6631,22932.99229,6029.775911,11847.29189,16725.97639,116461.3332,146927.4508,41425.2047,208514.6552,68145.34276,23789.45186,23674.46056,270421.3431,65239.1331,65239.13254,19293.71127
NAD,5.883428267,12.56120395,0.5131783055,0.02484981003,0.1260668169,1.053869835,1.083842542,1.331702621,2.098875203,2.28310059,0.532300366,0.000009056070334,1.881799528,0.7011561423,0.00247085426,0.068414454,0.3442971394,0.0628419222,0.005043987871,0.1957093022,0.08993244075,0.01891062114,0.5850189262,0.04851251306,0.04521637765,0.3616050015,0.2514574518,0.7685050117,0.07521887013,0.01629779702,0.06977198999,0.4891372291,4.206248396,3.88488657,0.735245378,0.4058412997,0.917801303,0.4234815515
NADP,0.7017550151,0.9300102506,4.070527892,0.04454222133,0.656910304,1.976134649,0.7095282228,0.6389632573,0.2597850926,1.238668862,8.981890373,0.5143891336,1.107677773,0.6551529516,5.265236361,0.5542051596,2752.351175,0.6490893058,4.611837453,0.2306608114,0.3532190294,2.364829271,6.61297745,0.2302188076,0.000001183621644,0.02378349189,15.66253683,0.1500417762,1.134872462,0.2229394862,4.101212399,0.383512392,0.00001817540309,0.000006492652803,3.491353374,0.09493782976,0.9404742586,1.113726007
Phosphate,2843.11026,1314.179536,5549.740511,3510.675278,3095.315322,219.4379369,636.3635456,255.2268674,2576.010799,2424.199661,768.6632528,1128.846321,342.284942,193.1120993,9839.610041,731.6008568,1042.301273,3502.16345,2347.022557,10196.1819,1240.043301,264.2196932,1240.127635,124.8207275,8.015043549,11.05165666,28096.81647,302.9846179,10314.96048,6902.307095,1447.557017,274.5262321,139.5379808,260.1604796,1547.027801,285.8752456,221.5926346,4774.484926
Coenzyme_A,40.28300935,15.70642517,6.966604338,0.04112373769,1.866855478,1.821023315,15.42438945,6.995439184,4.70273584,8.330242228,5.926173489,0.5179671249,17.05930325,9.791197166,4.307675136,7.125130378,2435176.607,5.084669188,12.8749416,0.7183764864,0.2638176118,0.5704708429,9.454703279,0.2294421357,0.2089995427,0.07797475849,33.09960683,0.7977338089,4.410449529,0.9098207888,12.18283472,0.9178943488,6.092760471,15.94035332,9.885601287,3.215934198,2.125220869,1.891299575
CO2,1786424.732,1953317.843,9218911.516,303676.0094,2328006.455,3505002.075,3302616.74,2339103.396,2249868.371,2643433.912,7369622.502,1164183.424,3111473.782,2928625.873,6983863.898,5813339.474,5996133.601,2882913.806,11744206.85,1666393.004,1420780.46,1450658.423,9850380.419,932598.2427,290637.0004,184004.9096,5826417.878,2519850.465,7229943.309,2377192.94,9171894.515,2755860.12,3619568.122,2028802.071,8931480.893,2571831.982,2737107.771,3242571.432
Pyrophosphate,313.5969132,66.64067669,686.99627,786.7951138,551.9069008,1.011720124,26.85712307,3.891661729,389.4250832,223.4734546,0.1339493621,153.859533,0,0,1404.979842,14.29055638,0,691.5117239,22.42381409,2131.664148,234.2655395,0,1.973434677,7.636645151,95252.69691,44359.93614,4223.344055,42.98611794,1110.74361,1208.786835,0.5557873815,2.817750069,0,0,0.1022960601,0,0,140.4292001
NH4,1918767.709,1735513.407,1716055.108,83114.8547,600930.6083,565715.7788,2899056.904,2536291.841,1106611.141,1609603.32,2510919.383,352338.9775,3275104.451,4096271.738,2043839.223,848081.4524,922589.9042,435843.1986,2265209.232,627893.5174,192018.6633,641249.8039,1253218.694,218153.8087,0.006952433791,0.05764400222,1380837.16,616633.2588,1736747.044,1299003.976,994040.247,312736.652,1554438.064,3303156.173,2511383.583,370977.5985,382171.0701,1289087.714
S_Adenosylmethionine,0.02072540186,0.01340445551,0.1104533165,0.008085672313,0.1606175377,0.09638613309,0.01106809474,0.09353806433,0.04465894904,0.042993689,0.2736395805,0.01127278701,0.6106626946,1.183122169,0.2183867232,0.1008914612,0.1006756428,0.01981750579,0.542577244,0.01509232277,0.000699104188,0.01711127381,0.08113055475,0.001208639214,0.00004825718533,0.00004574532667,0.1403334312,0.3010694946,0.1527621642,0.05379313366,1.92544766,0.03694329776,1.688682004,0.5389666041,0.2871548018,0.06144746157,0.2640300975,0.02773362273
S_Adenosylhomocysteine,0,0,0,0,0,0,0,0,0.00000005985064,0.00000005045826515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pyruvic_Acid,127.6855115,127.6855115,139.5764221,3.895790925,68.80626656,75.69892547,157.8249127,108.3565596,86.22679943,116.0931548,122.784418,17.13877594,156.3639625,156.3639628,147.5361848,247.684939,130.4132424,31.65752819,228.787148,35.51389725,34.5168837,20.01465735,138.0810111,10.10656885,110.1245683,357.3101844,122.9151946,51.9482469,136.1379207,44.71422426,116.8995412,35.52710421,156.3639535,156.3639459,150.5437238,34.70964526,29.49678622,80.16749575
L_Glutamic_Acid,810.2034773,806.9524763,1370.923592,47.21362564,669.1972641,485.4990538,1737.894162,1193.171783,590.6206671,826.5115297,857.4365329,315.3050693,1082.178615,1080.882514,1418.636828,983.2038767,1173.284477,161.7220477,1121.550527,94.4615866,30.27845254,233.5504397,1320.080163,105.4246652,86.44944768,79.05272564,1392.162888,512.5377302,1402.189685,597.6111075,1092.314053,269.2154479,541.8263953,634.462273,1450.518536,94.59847161,92.76388514,721.1020572
Oxoglutaric_acid,109.4921244,79.19119984,120.2003223,79.81588223,87.50068412,234.6659685,507.8400265,347.9602459,101.3793282,53.98822024,244.2810237,155.6853504,628.8741004,529.3221957,330.9721109,95.86126856,54.36576558,252.7449371,751.0155212,96.24844927,102.8015832,79.97363485,77.55713127,21.97632415,26.99098458,97.64532845,122.7999095,294.8119174,118.8065553,196.0876024,143.4140609,124.37202,769.3695455,708.0554306,156.3667504,117.7375508,147.780195,153.8117205
D_Glucose,12576.04371,10838.70346,32936.05727,3551.912364,11361.11567,10553.65143,25816.43023,16856.84357,18002.90274,22043.54139,27600.47622,4058.832895,19673.68768,20053.43366,32050.34205,22286.62727,31936.84432,8498.481039,38208.48928,9034.260192,8893.350456,3990.752932,31124.02182,2899.46933,25542.63519,1057.253784,27392.22627,14129.91271,31972.2041,12306.31035,30401.36864,8663.772059,21414.17929,20379.9017,30988.94723,6932.828427,6844.390466,17486.6079
Heme,0.8914726069,0.9919706749,2.284386572,0.1112282934,0.7864653406,1.046608746,0.98371299,0.6407762875,0.6229055072,0.9017452068,2.797564283,0.8895721562,1.598128535,1.930176222,2.763441371,1.910293051,2.141262737,0.5408514936,1.706817176,0.4690295258,0.02798686734,0.4177604549,1.586896479,0.1738565565,0.07638107282,0.07263968516,1.400461876,0.6355393803,1.991088327,0.6936997481,2.671770031,0.5327565519,2.841899112,3.075202016,3.269201987,0.5308583797,0.5570115523,0.5859854298
