SuperClass,Class,SubClass,Metabolite,A1_Control,A1_Context,A2_Control,A2_Context,B1_Control,B1_Context,B2_Control,B2_Context,C1_Control,C1_Context,C2_Control,C2_Context,D1_Control,D1_Context,D2_Control,D2_Context,E1_Control,E1_Context,E2_Control,E2_Context,F1_Control,F1_Context,F2_Control,F2_Context,G1_Control,G1_Context,H1_Control,H1_Context,H25361_Control,H25361_Context,H25362_Control,H25362_Context,H25363_Control,H25363_Context,H25364_Control,H25364_Context,H25365_Control,H25365_Context
Nucleosides_nucleotides_and_analogues,Dinucleotides,NA,NAD,9652.564535,20608.36408,782.7498215,41.05015244,267.8566017,2083.129414,1188.800154,2127.503405,3824.730194,3332.485662,860.5831531,0.01517764829,3355.900966,1248.320842,11.87315555,115.4063539,557.7401348,1.04E+02,6.473898679,370.2001786,139.8748583,33.28020504,990.9339355,83.26196722,74.89231135,652.905543,439.5742686,1197.613893,108.5812262,23.99695097,114.7284652,652.5785911,8120.341206,7530.193805,1113.042143,520.0731836,1176.134243,611.2444969
"Nucleosides, nucleotides, and analogue",Deoxyribonucleosides,5'-deoxy-5'-thionucleosides,S_Adenosylmethionine,34.00284152,21.991833,168.4742181,13.35696653,341.267186,190.5214308,12.13991167,149.4346765,81.38093705,62.75494508,442.3998706,18.89278574,1089.023297,2106.40109,1049.410148,170.1908735,163.0883333,32.6518264,696.3914651,28.54836494,1.087339545,30.11359048,137.4229385,2.074386014,0.0799288297,0.08259669315,245.3177065,469.1771739,220.5178444,79.20525632,3166.079323,49.28761046,3260.072342,1044.695363,434.7057535,78.74303818,338.3464785,40.0301364
Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,4_Hydroxybenzoic_Acid,0,0,95929.27698,25950.10111,110954.8043,654530349.2,0,0,17.98884413,11529.96533,258053.6441,91.98453553,0,0,142252.5084,22737.0235,75116.1271,74546.41756,13921.63599,77019.55757,186414.2276,41582.01029,277428.5879,37898435.66,0,10.24564487,44924.09662,3171.982448,109984.4072,31758.32545,225498.978,8425.889265,0,0,134816.8535,23823.37405,78388.88108,974324.6401
Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Sugar acids and derivatives,L_Idonate,0,0,446498.1441,1849.443767,0,0,0,0,0,0,449.3401281,1402.437899,0,0,30216.70095,6781.428034,0,0,0,0,0,0,6045.519552,0,0,0,0,0,1728.953699,0,0,0,0,0,2619.607633,0,0,232.1999704
Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L_Glutamic_Acid,1329249.036,1323915.326,2091066.956,77993.61553,1421856.358,959660.6006,1906189.107,1906189.107,1076273.946,1206402.308,1386238.827,528439.9601,1929899.653,1924376.169,6816952.338,1658538.042,1900648.502,266457.3576,1439496.815,178681.8298,47093.06477,411018.0444,2236016.944,180940.2249,143187.0329,142735.7546,2433648.233,798722.5808,2024112.767,879925.3312,1796129.288,359171.6746,1046018.872,1229797.522,2195849.588,121225.0412,118874.076,1040823.768
Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acids,Acetic_Acid,61336758.69,77521552.2,5112618960,480581610,3541263027,1470432933,200691195.7,136343779.7,284808260.6,387365769.2,4268179508,903077086.5,130679057.4,131385072,11587560546,2143085747,8020606987,2277299032,11670787980,2781180797,1201104112,490696982.8,8911755090,986789377.6,8944342.752,9262689.299,1993575025,621950612.3,7136136041,210322464,7534594445,1503239502,1470455745,471970353.1,4561249296,1305602409,1224898299,1625850811
Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Glycine,83650038.53,80518601.98,265134572.4,17404443.73,53216154.49,201820207.5,147262572.6,147323787,126129403.3,146777637.6,335941741.1,49532454.86,138956576.5,166405270.2,789163570.2,200912326.1,233511922.3,87261641.91,291779435.5,89437006.07,17669637.91,53543320.89,345008673.9,25744719.7,9386268.309,2521608.365,254504886.5,87119465.46,241849429.7,88822485.42,297436044.5,54538565.97,247713153.5,240362829.4,312360696.5,63601622.01,62282592.54,124183996.2
Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L_Alanine,17475143.62,17471848.4,9469128.299,388263.4934,1722627.839,877406.7009,376511.4564,374198.5976,35972938.1,1487231.672,18650054.21,2817181.83,11263969.84,10557350.5,39230997.97,7943420.777,12733728.33,1935214.208,9479799.723,2121906.979,616237.3278,2780849.438,14562653.54,1433778.863,1796228.065,5268830.352,6724548.841,981394.3485,15348150.43,5517367.474,11201066.8,1626944.026,13691233.78,15804091.37,17053339.54,3955763.38,3924289.413,7457549.211
Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,Succinic_Acid,2868930475,2374939559,1921302408,203258385.4,814587883.4,477353583.5,1791059271,2065651254,1277435896,1666348188,2214865991,658344060.9,3371950676,3948641538,9135472047,1445603062,919367117.7,372285956.3,619232863.5,441561374.9,169969831.8,601492001.9,871193770.4,75642262.19,21903160.25,103228953.5,2619894687,849847751.8,902971694,1685800318,564622857.7,89210311.9,1534782542,3598615269,2558627599,178059563.3,206828840.8,2043413917
Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",L_Lysine,472958.0725,402676.3066,514624.649,112414.277,167721.7654,53341.95533,623214.9104,204875.7995,568394.6498,1018036.237,255498.4097,49812.62206,1356540.376,527523.6627,1133517.907,90628.09796,48668.76487,360135.8748,32853.05613,43037.07715,22965.54715,1864187.058,166739.72,32618.91268,155052.3638,3698.065588,26553.7781,2578.64237,161383.9263,275555.3519,568654.4527,72400.40439,1214126.702,642570.4012,532318.7659,76510.04552,37716.34429,30944.12344
