	A01	A02	B01	B02	C01	C02	D01	D02	E01	E02	F01	F02	G01	H01	H25361	H25362	H25363	H25364	H25365
Shigella_sonnei	8.434609106	0.089754521	116.0754045	1.044932079	37.41496599	193.3534743	2.128374594	267.0666974	58.00334635	631.8637398	171.2595661	0.034949149	2.148784825	39.15847666	169.9435643	78.34576309	1.767083828	102.1199094	72.09488357
Prevotella_timonensis	359.8766552	1.346317821	5.863143833	308.2549634	57.82312925	1.041775185	378.738658	2.861758597	2.40250547	0.12297854	0.070209928	1.188271066	36.08476586	62.80712531	0.612865442	25.83439526	639.8295853	17.34471293	25.09400805
Prevotella_dentalis	172.7734446	1.92972221	5.417841769	385.5799373	27.21088435	1.840469493	340.2038759	1.769366874	3.260543138	0.06148927	0.193077301	1.118372768	33.41730883	72.02088452	0.371505306	6.430745019	88.42681126	6.971769838	40.55101
Porphyromonas_uenonis	99.76419372	0.807790692	10.90990055	187.0428422	234.6938776	0.416710074	144.3934132	1.492422494	1.372860269	0.12297854	0.210629783	0.594135533	43.86484884	23.18796069	0.059156896	5.790107725	222.2652562	1.62222834	17.05057224
Blautia_wexlerae	100.6711409	0.134631782	1.187472169	33.43782654	17.00680272	0.347258395	90.62394982	0.630817755	0.2574113	0	0.017552482	0.244644043	9.039715471	11.51719902	0.14197655	3.652328925	16.62995328	23.41430356	3.760321989
Barnesiella_intestinihominis	0	0	0	0	0	0	0	0	0	0.06148927	0	0	136.5589804	0	0	0	0	0	0
Dialister_invisus	0	0.089754521	0.371085053	0	10.20408163	0	0	2.138626048	0	0.491914161	0	0	366.5530528	0	0	0	0	0	0
Lactobacillus_iners	0	0	0	0	0	0	0	0.015385799	0	0	0	0	162.0480142	0	0	0	0	0	0
Anaeroglobus_geminatus	0	0.044877261	0.074217011	0	0	0	0	0.107700592	0	0.12297854	0	0	86.54416123	0	0	0	0	0	0
Lactobacillus_johnsonii	12.6065663	0.044877261	0.074217011	34.48275862	3.401360544	0	0.784138008	0.400030772	0	0	0	0	42.82750445	0	0.002366276	0	0	0	0
Lactobacillus_crispatus	86.52276438	0	0	20.89864159	0	0	7.281281506	0.030771598	0	0	0	0	0	0	0	0	0	0	0
Peptoniphilus_lacrimalis	0	0	0.074217011	0	0	0	0	0.015385799	0	0.06148927	0	0	54.46058091	0	0	0	0	0	0
Porphyromonas_somerae	25.93869037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella_oris	46.34500272	8.302293228	78.37316313	2.089864159	265.3061224	5.625585999	0.448078862	128.3021771	8.451671028	8.362540737	160.7456294	6.500541712	0.074096028	286.7014742	164.8395073	3.976129297	0.677785578	22.15633537	1.108570637
Escherichia_coli	55.68655904	987.2099807	781.579338	4.179728318	346.9387755	797.3747265	30.35734289	595.1380875	926.2516624	358.7284019	667.503335	990.3190857	16.37522229	504.6068796	664.0290579	875.9705307	30.40352449	826.3707406	840.3406335
Lactobacillus_acidophilus	24.3968801	0	0	20.89864159	0	0	4.032709757	0.015385799	0	0	0	0	10.00296384	0	0	0	0	0	0
Lactobacillus_amylolyticus	6.983493561	0	0	2.089864159	0	0	1.008177439	0.015385799	0	0	0	0	0	0	0	0	0	0	0
