Subsystem	A01	A02	B01	B02	C01	C02	D01	D02	E01	E02	F01	F02	G01	H01	H25361	H25362	H25363	H25364	H25365
Alanine and aspartate metabolism	6	8	7	0	5	8	5	6	6	9	8	7	5	9	8	7	5	8	7
Aminosugar metabolism	10	8	9	0	8	10	0	8	10	9	8	8	8	8	8	7	4	8	8
Arginine and proline metabolism	5	15	15	0	9	14	1	9	5	17	10	7	6	10	10	16	4	10	14
Ascorbate and aldarate metabolism	2	2	2	0	2	4	0	4	2	2	2	2	0	0	2	4	0	2	4
Benzoate degradation	0	1	1	0	0	0	0	1	0	1	1	0	0	1	1	1	0	1	0
Beta-alanine metabolism	2	3	1	0	1	1	0	2	1	3	1	2	0	1	1	2	1	3	1
Bile acid metabolism	3	3	3	1	3	3	0	3	3	3	3	3	2	3	3	3	3	3	3
Biotin metabolism	16	16	16	0	15	16	0	16	16	16	16	16	15	16	16	16	14	16	15
Butanoate metabolism	6	6	6	2	6	6	2	6	6	6	4	6	2	6	6	6	2	6	6
Cell wall biosynthesis	17	18	19	0	16	18	0	17	15	18	18	17	15	19	18	17	15	17	18
Cholesterol metabolism	2	3	3	2	2	3	2	2	2	3	2	2	2	2	3	2	2	3	2
Citric acid cycle	7	10	10	2	9	10	3	9	8	12	9	8	7	11	10	10	6	11	11
CoA synthesis	6	9	9	0	10	10	0	6	6	9	9	9	6	9	9	9	6	10	10
Drug metabolism	25	145	122	12	90	122	14	45	80	114	107	53	61	118	104	125	46	121	119
Exchange/demand reaction	172	446	387	49	289	389	52	230	298	365	350	241	209	373	341	414	166	385	369
Fatty acid oxidation	3	2	3	3	3	2	3	2	3	2	2	2	3	2	3	3	3	2	3
Fatty acid synthesis	32	38	38	26	36	37	26	36	36	38	38	34	34	38	38	38	29	33	38
Folate metabolism	9	17	15	0	12	16	0	8	9	17	16	9	8	13	16	18	1	13	15
Fructose and mannose metabolism	2	6	1	0	2	3	0	1	3	0	4	2	0	1	3	3	0	4	2
Galactose metabolism	1	8	8	0	2	9	0	8	7	5	7	8	1	10	8	10	1	5	6
Glutamate metabolism	5	7	5	2	6	4	2	6	6	6	4	5	7	4	3	5	6	6	5
Glutathione metabolism	1	3	1	0	1	3	0	1	0	1	1	1	1	1	1	1	1	1	1
Glycerophospholipid metabolism	28	49	48	9	38	44	8	23	22	45	46	25	34	50	45	49	10	42	44
Glycine, serine, alanine, and threonine metabolism	7	13	14	0	10	15	0	12	11	12	16	13	8	13	14	14	13	12	17
Glycolysis/gluconeogenesis	10	18	17	8	10	18	10	14	17	15	16	17	12	17	16	14	11	13	14
Glyoxylate and dicarboxylate metabolism	2	8	7	0	5	5	0	3	3	6	3	7	4	4	4	7	1	6	5
Heparan sulfate degradation	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
Histidine metabolism	9	9	9	0	0	0	0	9	11	9	9	9	0	0	9	10	0	10	9
Lipopolysaccharide biosynthesis	30	30	30	0	30	30	0	30	30	30	30	30	30	30	30	30	30	30	30
Lysine metabolism	15	14	15	4	14	14	4	13	14	14	14	14	6	14	14	14	14	14	14
Methionine and cysteine metabolism	10	11	10	0	8	12	0	8	11	13	10	8	6	8	10	11	5	13	12
Miscellaneous	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
NAD metabolism	4	9	9	0	5	11	0	5	2	10	10	4	4	9	10	9	4	10	5
Nitrogen metabolism	0	1	1	0	0	1	0	1	1	1	1	1	0	1	1	1	0	1	1
Nucleotide interconversion	37	46	44	7	41	46	7	41	37	46	46	42	28	44	45	45	28	43	42
Nucleotide salvage pathway	1	2	1	0	2	2	1	1	1	0	1	0	1	2	2	1	0	2	2
Nucleotide sugar metabolism	2	2	2	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2
Others	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1
Oxidative phosphorylation	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
Pentose and glucuronate interconversions	6	11	10	2	6	10	2	8	11	10	10	7	4	9	10	8	3	9	7
