Metabolite	A01	A02	B01	B02	C01	C02	D01	D02	E01	E02	F01	F02	G01	H01	H25361	H25362	H25363	H25364	H25365
12dgr180[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12dgr180[fe]	2000	2000	2000	1999.60566	1999.946612	0	1999.877136	2000	0	0	0	0	1999.918995	0	2000	0	0	0	1999.992067
12dgr180[u]	2000	2000	2000	2000	2000	0	2000	2000	0	0	0	0	2000	0	2000	0	0	0	2000
12ppd_S[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12ppd_S[fe]	0	0	0	0	0	0	0	0	0	2000	0	0	2000	0	0	0	0	0	0
12ppd_S[u]	0	0	0	0	0	0	0	0	0	2000	0	0	2000	0	0	0	0	0	0
15dap[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15dap[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
15dap[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
1hibup_S[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1hibup_S[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
1hibup_S[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
1hibupglu_S[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1hibupglu_S[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
1hibupglu_S[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
1hmdgluc[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
