Reaction	A01	A02	B01	B02	C01	C02	D01	D02	E01	E02	F01	F02	G01	H01	H25361	H25362	H25363	H25364	H25365
13DAMPPOX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1P4H2CBXLAH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22IDPOR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23DHMPO	0	0	0	0	0	0	-4.204390003	0	0	0	-7.44114885	0	0	0	0	0	0	-311.1825444	-382.9721952
25DOPOX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182.216242	0
25K5O2AI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26DAPLLAT	0	0	0	0	0	0	-0.003263143	0	0	0	-0.00577528	0	0	0	0	0	0	-0.24151733	-0.297235252
2AHBUTI	0	0	0	0	0	0	4.204390003	0	0	0	7.44114885	0	0	0	0	0	0	311.1825444	382.9721952
2DHPL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2DOHMC5DPT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2HBO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2HYOXPLACt2rpp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2HYOXPLACtex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2IPDPIPT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2MBCOATA	0	0	0	0	0	0	0.000895367	0	0	0	0.001584667	0	0	0	0	0	0	0.066269435	0.081557759
2MECOAOX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2OMPHH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34DCCBR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34DHOXPEGOX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
34HPPOR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3CARLPDH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3FCHLOR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3HACOAOR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3HACPR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3HACPR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3HAD10M12	0	0	0	0	0	0	0.000895367	0	0	0	0.001584667	0	0	0	0	0	0	0.066269435	0.081557759
3HAD11M12	0	0	0	0	0	0	0.000895367	0	0	0	0.001584667	0	0	0	0	0	0	0.066269435	0.081557759
3HAD12M14	0	0	0	0	0	0	0.000895367	0	0	0	0.001584667	0	0	0	0	0	0	0.066269435	0.081557759
